Text_Type,Book,Chapter,Window,GLL,LGG,GGG,LGL,G,GLG,LLG,GGL,L,GG,LL,LG,LLL,GL
SN,CS,shareera,645,78,100,170,70,9,103,88,114,7,9,2,6,43,5
SN,CS,shareera,646,80,108,172,74,8,104,90,115,7,10,2,6,43,5
SN,CS,shareera,647,80,108,170,76,7,108,90,117,7,10,2,6,43,5
SN,CS,shareera,648,80,109,172,76,8,109,90,119,7,9,2,6,43,5
SN,CS,shareera,649,80,110,173,75,7,112,94,121,7,9,2,6,44,5
SN,CS,shareera,650,79,110,172,75,7,112,94,118,7,9,2,5,45,5
SN,CS,shareera,651,78,111,174,74,7,114,97,117,7,9,2,5,45,5
SN,CS,shareera,652,77,112,174,71,7,116,97,117,7,10,2,5,48,5
SN,CS,shareera,653,78,109,174,72,7,117,100,121,6,11,2,5,49,5
SN,CS,shareera,654,79,111,176,74,7,119,100,119,6,12,2,5,49,5
SN,CS,shareera,655,78,111,175,73,8,118,100,118,6,12,2,4,49,5
SN,CS,shareera,656,74,112,176,74,8,119,100,116,6,13,2,3,49,5
SN,CS,shareera,657,73,111,174,73,8,121,103,115,7,13,1,3,46,5
SN,CS,shareera,658,73,110,170,74,8,121,102,113,7,12,1,4,46,5
SN,CS,shareera,659,70,108,164,73,7,115,99,112,7,12,1,5,46,5
SN,CS,shareera,660,68,107,157,69,7,111,96,111,7,12,1,5,45,5
SN,CS,shareera,661,72,107,158,77,7,117,93,117,8,12,1,5,45,5
SN,CS,shareera,662,75,106,159,74,7,119,94,116,8,12,2,4,41,5
SN,CS,shareera,663,74,106,156,75,7,116,89,118,7,12,2,4,40,5
SN,CS,shareera,664,74,106,161,75,6,122,89,123,7,13,2,4,41,5
SN,CS,shareera,665,72,101,156,72,6,122,89,124,7,13,2,4,41,5
SN,CS,shareera,666,66,97,148,70,6,119,86,117,7,13,2,4,41,5
SN,CS,shareera,667,62,92,142,67,6,112,82,110,7,12,2,4,37,5
SN,CS,shareera,668,62,92,142,67,6,114,81,110,7,11,2,5,37,5
SN,CS,shareera,669,62,92,139,68,6,114,79,109,7,11,2,5,37,5
SN,CS,shareera,670,61,90,140,67,7,114,78,108,7,11,2,5,37,5
SN,CS,shareera,671,60,88,140,67,8,112,78,104,7,11,2,5,37,5
SN,CS,shareera,672,60,88,141,68,9,111,78,104,6,11,2,5,37,5
SN,CS,shareera,673,58,89,136,65,9,106,73,103,6,11,2,5,36,5
SN,CS,shareera,674,59,89,136,66,10,106,72,102,5,11,2,5,36,5
SN,CS,shareera,675,59,90,132,67,11,105,72,104,4,11,2,5,36,5
SN,CS,shareera,676,58,91,131,66,12,106,74,104,4,11,2,5,36,5
SN,CS,shareera,677,55,90,131,66,12,100,72,102,4,11,2,5,33,5
SN,CS,shareera,678,55,89,130,63,12,99,71,99,4,11,2,5,31,5
SN,CS,shareera,679,55,92,131,64,12,101,72,100,4,11,2,5,31,4
SN,CS,shareera,680,58,98,142,74,12,110,77,106,4,10,2,5,35,4
SN,CS,shareera,681,57,97,135,72,12,105,75,101,4,10,2,5,35,3
SN,CS,shareera,682,59,97,132,70,12,105,75,100,4,9,2,5,36,4
SN,CS,shareera,683,62,113,147,76,12,121,82,114,4,9,2,5,36,4
SN,CS,shareera,684,62,115,147,74,12,120,82,115,4,8,2,5,36,5
SN,CS,shareera,685,63,115,145,75,12,123,82,116,5,8,2,5,34,5
SN,CS,shareera,686,62,114,146,75,12,126,82,116,5,8,1,5,33,6
SN,CS,shareera,687,61,113,145,75,12,126,83,115,5,9,1,5,32,6
SN,CS,shareera,688,62,115,147,73,11,125,84,118,5,9,2,5,32,6
SN,CS,shareera,689,61,113,146,71,11,126,82,117,5,9,2,4,32,6
SN,CS,shareera,690,60,110,141,71,11,121,79,114,6,9,2,4,31,5
SN,CS,shareera,691,59,107,144,68,10,123,80,112,6,9,2,4,32,6
SN,CS,shareera,692,51,101,145,67,10,127,77,108,7,8,2,4,26,6
SN,CS,shareera,693,49,97,137,67,11,126,74,104,7,8,2,4,28,5
SN,CS,shareera,694,48,97,136,67,10,126,73,103,7,8,2,4,28,5
SN,CS,shareera,695,46,93,132,68,10,120,68,102,7,8,2,4,27,5
SN,CS,shareera,696,46,91,135,69,10,124,68,103,7,7,2,4,28,6
SN,CS,shareera,697,46,90,138,66,10,120,68,102,7,7,2,5,29,6
SN,CS,shareera,698,46,88,136,66,9,120,67,102,7,7,2,5,32,6
SN,CS,shareera,699,47,88,136,66,9,119,63,102,7,7,2,5,31,7
SN,CS,shareera,700,51,100,149,76,9,131,65,114,8,7,2,5,34,7
SN,CS,shareera,701,51,100,147,76,9,130,61,114,8,7,2,5,34,7
SN,CS,shareera,702,54,104,156,90,9,144,59,121,8,6,2,5,36,8
SN,CS,shareera,703,53,105,154,89,9,144,57,117,8,5,2,5,36,8
SN,CS,shareera,704,52,107,150,87,9,145,56,117,9,4,2,5,37,8
SN,CS,shareera,705,53,108,151,87,8,145,56,121,9,4,2,5,37,8
SN,CS,shareera,706,53,110,150,86,8,143,57,124,9,3,2,5,37,8
SN,CS,shareera,707,55,111,150,85,8,140,54,123,8,3,2,5,37,8
SN,CS,shareera,708,54,112,151,84,8,141,55,124,8,3,2,5,37,8
SN,CS,shareera,709,55,113,151,85,9,141,54,124,8,3,2,4,36,8
SN,CS,shareera,710,54,113,153,84,9,142,54,124,8,3,2,3,36,8
SN,CS,shareera,711,50,110,145,76,9,134,54,116,7,4,2,3,34,8
SN,CS,shareera,712,46,111,141,78,9,134,53,118,7,5,1,3,33,8
SN,CS,shareera,713,45,113,145,77,10,134,54,116,7,5,1,3,35,8
SN,CS,shareera,714,44,117,139,78,11,129,56,112,7,4,1,3,34,8
SN,CS,shareera,715,45,120,140,79,11,129,56,114,8,4,1,3,34,7
SN,CS,shareera,716,46,122,141,79,11,129,56,115,8,4,1,3,34,8
SN,CS,shareera,717,49,126,141,80,12,131,57,114,8,4,1,3,33,8
SN,CS,shareera,718,49,128,141,80,12,128,57,113,9,4,1,2,33,8
SN,CS,shareera,719,50,130,152,82,11,128,58,115,9,5,1,2,36,8
SN,CS,shareera,720,50,130,151,81,10,128,58,115,9,6,1,2,37,8
SN,CS,shareera,721,52,131,154,82,9,130,57,119,9,6,2,2,37,8
SN,CS,shareera,722,53,131,156,83,8,131,56,119,9,6,2,2,37,8
SN,CS,shareera,723,53,130,155,82,8,131,57,119,8,6,2,2,37,8
