Text_Type,Book,Chapter,Window,Mean,StDev,normalised
SN,CS,kalpa,375,11.03,11.2,2.683993199
SN,CS,kalpa,512,11.03,13.7,2.683993199
SN,CS,kalpa,535,11.04,17,2.696137965
SN,CS,kalpa,148,11.06,11.88,2.720427496
SN,CS,kalpa,264,11.06,16.53,2.720427496
SN,CS,kalpa,435,11.06,15.93,2.720427496
SN,CS,kalpa,443,11.07,16.49,2.732572261
SN,CS,kalpa,458,11.07,15.24,2.732572261
SN,CS,kalpa,528,11.07,17.45,2.732572261
SN,CS,kalpa,549,11.07,17.48,2.732572261
SN,CS,kalpa,587,11.07,15.44,2.732572261
SN,CS,kalpa,92,11.08,15.38,2.744717027
SN,CS,kalpa,267,11.08,16.74,2.744717027
SN,CS,kalpa,275,11.08,16.63,2.744717027
SN,CS,kalpa,537,11.08,16.42,2.744717027
SN,CS,kalpa,415,11.09,12.68,2.756861793
SN,CS,kalpa,214,11.1,17.31,2.769006558
SN,CS,kalpa,247,11.1,15.46,2.769006558
SN,CS,kalpa,315,11.1,17.63,2.769006558
SN,CS,kalpa,522,11.1,15.55,2.769006558
SN,CS,kalpa,248,11.11,15.37,2.781151324
SN,CS,kalpa,269,11.11,15.43,2.781151324
SN,CS,kalpa,631,11.13,17.24,2.805440855
SN,CS,kalpa,416,11.14,12.86,2.817585621
SN,CS,kalpa,589,11.14,16.19,2.817585621
SN,CS,kalpa,590,11.14,16.53,2.817585621
SN,CS,kalpa,628,11.14,16.61,2.817585621
SN,CS,kalpa,243,11.15,16.2,2.829730386
SN,CS,kalpa,40,11.16,10.59,2.841875152
SN,CS,kalpa,272,11.16,15.74,2.841875152
SN,CS,kalpa,379,11.16,11.35,2.841875152
SN,CS,kalpa,526,11.16,15.61,2.841875152
SN,CS,kalpa,278,11.17,16.1,2.854019917
SN,CS,kalpa,311,11.17,18.22,2.854019917
SN,CS,kalpa,520,11.17,14.95,2.854019917
SN,CS,kalpa,429,11.19,13.12,2.878309449
SN,CS,kalpa,132,11.2,11.42,2.890454214
SN,CS,kalpa,279,11.2,16.19,2.890454214
SN,CS,kalpa,558,11.21,17.27,2.90259898
SN,CS,kalpa,636,11.22,17.84,2.914743745
SN,CS,kalpa,59,11.24,14.46,2.939033277
SN,CS,kalpa,559,11.24,17.38,2.939033277
SN,CS,kalpa,510,11.27,12.33,2.975467573
SN,CS,kalpa,69,11.28,14.38,2.987612339
SN,CS,kalpa,271,11.28,15.66,2.987612339
SN,CS,kalpa,518,11.29,15.16,2.999757105
SN,CS,kalpa,428,11.3,12.89,3.01190187
SN,CS,kalpa,514,11.31,14.76,3.024046636
SN,CS,kalpa,536,11.31,16.63,3.024046636
SN,CS,kalpa,263,11.32,16.21,3.036191402
SN,CS,kalpa,265,11.32,16.72,3.036191402
SN,CS,kalpa,178,11.33,11.84,3.048336167
SN,CS,kalpa,588,11.33,16.06,3.048336167
SN,CS,kalpa,339,11.34,11.35,3.060480933
SN,CS,kalpa,513,11.34,13.4,3.060480933
SN,CS,kalpa,667,11.34,17.09,3.060480933
SN,CS,kalpa,104,11.35,11.4,3.072625698
SN,CS,kalpa,619,11.36,16.83,3.084770464
SN,CS,kalpa,149,11.37,11.8,3.09691523
SN,CS,kalpa,254,11.37,16.61,3.09691523
SN,CS,kalpa,180,11.38,13.84,3.109059995
SN,CS,kalpa,181,11.38,13.84,3.109059995
SN,CS,kalpa,256,11.38,16.06,3.109059995
SN,CS,kalpa,627,11.38,16.79,3.109059995
SN,CS,kalpa,418,11.4,13.2,3.133349526
SN,CS,kalpa,635,11.4,17.69,3.133349526
SN,CS,kalpa,61,11.41,14.84,3.145494292
SN,CS,kalpa,62,11.41,14.84,3.145494292
SN,CS,kalpa,183,11.41,15.06,3.145494292
SN,CS,kalpa,270,11.41,15.77,3.145494292
SN,CS,kalpa,551,11.41,17.54,3.145494292
SN,CS,kalpa,585,11.41,15.17,3.145494292
SN,CS,kalpa,625,11.41,16.54,3.145494292
SN,CS,kalpa,273,11.42,16.12,3.157639058
SN,CS,kalpa,524,11.43,15.98,3.169783823
SN,CS,kalpa,553,11.44,16.96,3.181928589
SN,CS,kalpa,409,11.45,13.29,3.194073354
SN,CS,kalpa,414,11.45,12.43,3.194073354
SN,CS,kalpa,417,11.45,12.86,3.194073354
SN,CS,kalpa,57,11.47,14.58,3.218362886
SN,CS,kalpa,632,11.48,17.34,3.230507651
