Text_Type,Book,Chapter,Window,Mean,StDev,nomalised
SN,CS,siddi,985,26.54,32.15,2.426564496
SN,CS,siddi,1030,26.54,30.12,2.426564496
SN,CS,siddi,1047,26.54,29.73,2.426564496
SN,CS,siddi,618,26.55,29.95,2.436388643
SN,CS,siddi,881,26.56,32.02,2.446212791
SN,CS,siddi,356,26.57,32.07,2.456036939
SN,CS,siddi,1145,26.57,30.65,2.456036939
SN,CS,siddi,559,26.59,33.02,2.475685234
SN,CS,siddi,316,26.6,27.04,2.485509382
SN,CS,siddi,1041,26.61,30.72,2.49533353
SN,CS,siddi,292,26.63,27.65,2.514981825
SN,CS,siddi,554,26.64,32.06,2.524805973
SN,CS,siddi,615,26.64,29.38,2.524805973
SN,CS,siddi,884,26.64,32.21,2.524805973
SN,CS,siddi,1003,26.65,32.91,2.534630121
SN,CS,siddi,332,26.66,31.34,2.544454269
SN,CS,siddi,558,26.66,33.06,2.544454269
SN,CS,siddi,1029,26.66,30.41,2.544454269
SN,CS,siddi,1042,26.66,31.14,2.544454269
SN,CS,siddi,889,26.67,30.84,2.554278416
SN,CS,siddi,955,26.67,28.47,2.554278416
SN,CS,siddi,1007,26.69,31.82,2.573926712
SN,CS,siddi,358,26.7,32.39,2.58375086
SN,CS,siddi,501,26.73,31.23,2.613223303
SN,CS,siddi,619,26.73,30.97,2.613223303
SN,CS,siddi,931,26.74,29.15,2.623047451
SN,CS,siddi,1005,26.75,32.33,2.632871598
SN,CS,siddi,315,26.76,27.52,2.642695746
SN,CS,siddi,621,26.76,31.04,2.642695746
SN,CS,siddi,695,26.76,29.42,2.642695746
SN,CS,siddi,646,26.78,33.02,2.662344042
SN,CS,siddi,1147,26.8,31.36,2.681992337
SN,CS,siddi,725,26.81,30.3,2.691816485
SN,CS,siddi,557,26.82,33.23,2.701640633
SN,CS,siddi,333,26.83,32.46,2.71146478
SN,CS,siddi,417,26.83,31.56,2.71146478
SN,CS,siddi,555,26.83,32.47,2.71146478
SN,CS,siddi,616,26.83,29.34,2.71146478
SN,CS,siddi,630,26.83,31.38,2.71146478
SN,CS,siddi,649,26.84,33.08,2.721288928
SN,CS,siddi,989,26.85,32.8,2.731113076
SN,CS,siddi,1000,26.85,32.2,2.731113076
SN,CS,siddi,562,26.86,32.58,2.740937224
SN,CS,siddi,1110,26.86,29.18,2.740937224
SN,CS,siddi,357,26.89,32.94,2.770409667
SN,CS,siddi,651,26.89,32.8,2.770409667
SN,CS,siddi,930,26.9,29.65,2.780233815
SN,CS,siddi,497,26.91,32.88,2.790057962
SN,CS,siddi,586,26.91,32.88,2.790057962
SN,CS,siddi,997,26.91,32.49,2.790057962
SN,CS,siddi,999,26.91,31.98,2.790057962
SN,CS,siddi,988,26.92,33.11,2.79988211
SN,CS,siddi,1008,26.93,31.67,2.809706258
SN,CS,siddi,1032,26.93,29.72,2.809706258
