Text_Type,Book,Chapter,Window,Mean,StDev,Normalised Mean
SN,AH,nidana,521,7.2,2.64,15.10040161
SN,AH,nidana,3,7.21,3.34,15.18072289
SN,AH,nidana,130,7.21,3.28,15.18072289
SN,AH,nidana,175,7.21,3,15.18072289
SN,AH,nidana,820,7.21,2.7,15.18072289
SN,AH,nidana,991,7.21,3.32,15.18072289
SN,AH,nidana,1523,7.21,2.83,15.18072289
SN,AH,nidana,151,7.22,2.97,15.26104418
SN,AH,nidana,636,7.22,3.1,15.26104418
SN,AH,nidana,963,7.22,2.56,15.26104418
SN,AH,nidana,8,7.23,3.19,15.34136546
SN,AH,nidana,747,7.23,3.25,15.34136546
SN,AH,nidana,931,7.23,3.09,15.34136546
SN,AH,nidana,1504,7.23,3.05,15.34136546
SN,AH,nidana,1505,7.23,3.05,15.34136546
SN,AH,nidana,58,7.24,3.09,15.42168675
SN,AH,nidana,174,7.24,3.08,15.42168675
SN,AH,nidana,1223,7.24,3.23,15.42168675
SN,AH,nidana,1390,7.24,2.93,15.42168675
SN,AH,nidana,1430,7.24,3.3,15.42168675
SN,AH,nidana,285,7.25,3.26,15.50200803
SN,AH,nidana,453,7.25,2.95,15.50200803
SN,AH,nidana,574,7.25,3.01,15.50200803
SN,AH,nidana,816,7.25,2.54,15.50200803
SN,AH,nidana,1047,7.25,3.04,15.50200803
SN,AH,nidana,1110,7.25,3.13,15.50200803
SN,AH,nidana,1503,7.25,3.06,15.50200803
SN,AH,nidana,819,7.26,2.57,15.58232932
SN,AH,nidana,1084,7.26,3.01,15.58232932
SN,AH,nidana,1370,7.26,2.76,15.58232932
SN,AH,nidana,564,7.27,2.82,15.6626506
SN,AH,nidana,738,7.27,3.42,15.6626506
SN,AH,nidana,853,7.27,3.08,15.6626506
SN,AH,nidana,1141,7.27,3.44,15.6626506
SN,AH,nidana,1447,7.27,3.38,15.6626506
SN,AH,nidana,156,7.28,2.76,15.74297189
SN,AH,nidana,831,7.28,2.87,15.74297189
