Text_Type,Book,Chapter,Window,LLG,LGG,LL,G,GGL,GLG,GLL,LGL,LG,GGG,LLL,GG,GL,L
SN,CS,indriya,277,30,29,0,64,37,78,17,94,1,89,0,1,0,8
SN,CS,indriya,278,29,30,0,64,37,79,17,94,1,88,0,1,0,8
SN,CS,indriya,279,30,28,0,63,38,77,17,95,1,89,0,1,0,9
SN,CS,indriya,280,28,29,0,63,39,77,16,96,1,88,1,1,0,9
SN,CS,indriya,281,29,28,0,62,39,76,16,96,1,89,1,1,0,10
SN,CS,indriya,282,29,29,0,63,41,76,15,93,1,90,1,1,0,9
SN,CS,indriya,283,30,29,0,64,41,75,15,93,1,90,1,1,0,8
SN,CS,indriya,284,30,30,0,64,43,72,15,93,1,90,1,1,0,8
SN,CS,indriya,285,30,30,0,63,42,72,15,94,1,90,1,1,0,9
SN,CS,indriya,286,31,30,0,63,43,71,15,93,1,90,1,1,0,9
SN,CS,indriya,287,32,29,0,62,43,71,15,93,1,90,1,1,0,10
SN,CS,indriya,288,31,29,0,62,43,70,16,94,1,90,1,1,0,10
SN,CS,indriya,289,31,28,0,61,44,70,16,94,1,90,1,1,0,11
SN,CS,indriya,290,29,28,0,61,46,70,16,94,1,90,1,1,0,11
SN,CS,indriya,291,29,28,0,61,46,71,16,94,1,89,1,1,0,11
SN,CS,indriya,292,29,28,0,61,46,70,16,95,1,89,1,1,0,11
SN,CS,indriya,293,29,29,0,61,47,69,16,94,1,89,1,1,0,11
SN,CS,indriya,294,29,29,0,61,48,69,16,92,1,90,1,1,0,11
SN,CS,indriya,295,29,29,0,61,47,71,16,91,1,90,1,1,0,11
SN,CS,indriya,296,29,29,0,60,48,71,16,91,2,90,1,1,0,11
SN,CS,indriya,297,29,29,0,60,49,70,16,91,2,90,1,1,0,11
SN,CS,indriya,298,28,31,0,59,49,70,17,90,2,89,1,1,0,11
SN,CS,indriya,299,28,32,0,58,48,69,18,89,2,88,1,2,0,11
SN,CS,indriya,300,27,32,0,58,48,69,18,90,2,88,1,2,0,11
SN,CS,indriya,301,27,33,0,59,48,69,16,90,2,89,1,2,0,10
SN,CS,indriya,302,26,34,0,59,48,70,15,90,2,89,1,2,0,10
SN,CS,indriya,303,26,35,0,59,48,71,14,89,2,89,1,2,0,10
SN,CS,indriya,304,26,36,0,59,48,72,15,89,2,86,1,2,0,10
SN,CS,indriya,305,26,34,0,59,48,73,15,89,2,87,1,2,0,10
SN,CS,indriya,306,27,35,0,59,47,74,15,89,2,85,1,2,0,10
SN,CS,indriya,307,28,36,0,59,46,73,16,88,2,85,1,2,0,10
SN,CS,indriya,308,27,37,0,59,46,74,15,88,2,85,1,2,0,10
SN,CS,indriya,309,26,38,0,60,47,74,14,89,1,83,1,2,0,10
SN,CS,indriya,310,26,39,0,60,45,74,14,89,1,84,1,2,0,10
SN,CS,indriya,311,26,37,0,61,45,72,14,91,1,86,1,2,0,10
SN,CS,indriya,312,25,36,0,62,45,74,13,92,1,88,1,1,0,10
SN,CS,indriya,313,25,35,0,62,46,75,13,92,1,87,1,1,0,10
SN,CS,indriya,314,25,33,0,61,47,76,13,92,1,87,1,1,0,11
SN,CS,indriya,315,25,33,0,62,46,76,13,92,1,88,1,1,0,10
SN,CS,indriya,316,25,34,0,62,46,77,13,92,1,86,1,1,0,10
SN,CS,indriya,317,26,34,0,61,45,76,13,93,1,86,1,1,0,11
SN,CS,indriya,318,26,35,0,61,44,76,13,92,1,87,1,1,0,11
SN,CS,indriya,319,26,37,0,61,44,76,13,92,1,85,1,1,0,11
SN,CS,indriya,320,26,38,0,61,41,77,13,92,1,86,1,1,0,11
SN,CS,indriya,321,27,39,0,61,41,75,13,92,1,86,1,1,0,11
SN,CS,indriya,322,27,39,0,61,40,75,13,93,1,86,1,1,0,11
SN,CS,indriya,323,27,40,0,61,38,75,13,92,1,88,1,1,0,11
SN,CS,indriya,324,27,40,0,60,37,75,13,92,1,89,1,1,0,12
SN,CS,indriya,325,28,40,0,61,37,75,13,91,1,89,1,1,0,11
SN,CS,indriya,326,28,41,0,61,37,76,13,91,1,87,1,1,0,11
SN,CS,indriya,327,28,42,0,60,37,76,13,92,1,85,1,1,0,12
SN,CS,indriya,328,28,42,0,61,37,77,13,92,1,84,1,1,0,11
SN,CS,indriya,329,29,41,0,60,38,76,13,93,1,83,1,1,0,12
SN,CS,indriya,330,29,41,0,60,38,77,14,92,1,82,1,1,0,12
SN,CS,indriya,331,29,40,0,60,41,76,13,93,1,81,1,1,0,12
SN,CS,indriya,332,30,39,0,60,42,75,14,93,1,80,1,1,0,12
SN,CS,indriya,333,31,41,0,60,42,73,14,93,1,79,1,1,0,12
SN,CS,indriya,334,30,41,0,60,42,73,13,94,1,80,1,1,0,12
SN,CS,indriya,335,30,42,0,59,41,72,14,94,1,80,1,1,0,13
SN,CS,indriya,336,31,41,0,59,43,71,14,94,1,79,1,1,0,13
SN,CS,indriya,337,32,41,0,59,43,70,14,94,1,79,1,1,0,13
SN,CS,indriya,338,34,40,0,59,44,69,13,94,1,79,1,1,0,13
SN,CS,indriya,339,35,39,0,59,44,69,13,95,1,78,1,1,0,13
SN,CS,indriya,340,37,38,0,59,44,68,13,95,1,78,1,1,0,13
SN,CS,indriya,341,37,38,0,60,46,68,13,95,1,76,1,1,0,12
SN,CS,indriya,342,38,38,0,60,47,67,13,94,1,76,1,1,0,12
SN,CS,indriya,343,38,38,0,60,48,67,13,94,1,75,1,1,0,12
SN,CS,indriya,344,38,38,0,59,50,67,13,93,1,74,1,1,0,13
SN,CS,indriya,345,38,38,0,59,49,68,14,92,1,74,1,1,0,13
